
2024/01/22 (17:09:22) | ===> btop++ v.1.3.0
2024/02/05 (19:39:58) | ===> btop++ v.1.3.0
2024/02/05 (19:39:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (19:41:37) | ===> btop++ v.1.3.0
2024/02/05 (19:41:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (19:41:52) | ===> btop++ v.1.3.0
2024/02/05 (19:41:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (20:12:09) | ===> btop++ v.1.3.0
2024/02/05 (20:12:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (23:52:40) | ===> btop++ v.1.3.0
2024/02/05 (23:52:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/06 (15:02:30) | ===> btop++ v.1.3.0
2024/02/06 (15:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (18:01:09) | ===> btop++ v.1.3.0
2024/02/07 (18:01:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/07 (18:01:11) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/02/07 (18:01:18) | ===> btop++ v.1.3.0
2024/02/07 (18:01:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (20:44:43) | ===> btop++ v.1.3.0
2024/02/07 (20:44:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (21:16:22) | ===> btop++ v.1.3.0
2024/02/07 (21:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (23:09:57) | ===> btop++ v.1.3.0
2024/02/08 (23:09:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (23:22:52) | ===> btop++ v.1.3.0
2024/02/08 (23:22:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (15:03:21) | ===> btop++ v.1.3.0
2024/02/09 (15:03:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (15:11:41) | ===> btop++ v.1.3.0
2024/02/09 (15:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (23:38:00) | ===> btop++ v.1.3.2
2024/02/22 (23:38:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (23:51:39) | ===> btop++ v.1.3.2
2024/02/22 (23:51:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (01:41:43) | ===> btop++ v.1.3.2
2024/02/23 (01:41:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (03:35:55) | ===> btop++ v.1.3.2
2024/02/23 (03:35:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (22:12:06) | ===> btop++ v.1.3.2
2024/02/23 (22:12:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (03:28:50) | ===> btop++ v.1.3.2
2024/02/24 (03:28:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (16:33:36) | ===> btop++ v.1.3.2
2024/02/24 (16:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (16:49:52) | ===> btop++ v.1.3.2
2024/02/24 (16:49:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (17:21:55) | ===> btop++ v.1.3.2
2024/02/24 (17:21:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
